Original,Predicted
building_windows_float_processed,building_windows_non_float_processed
building_windows_float_processed,building_windows_non_float_processed
building_windows_float_processed,building_windows_non_float_processed
building_windows_float_processed,building_windows_non_float_processed
building_windows_float_processed,building_windows_non_float_processed
building_windows_float_processed,building_windows_float_processed
building_windows_float_processed,building_windows_non_float_processed
building_windows_float_processed,building_windows_non_float_processed
building_windows_float_processed,building_windows_non_float_processed
building_windows_float_processed,building_windows_non_float_processed
building_windows_float_processed,building_windows_non_float_processed
building_windows_float_processed,building_windows_float_processed
building_windows_float_processed,building_windows_non_float_processed
building_windows_float_processed,building_windows_non_float_processed
building_windows_float_processed,building_windows_non_float_processed
building_windows_float_processed,building_windows_float_processed
building_windows_float_processed,building_windows_float_processed
building_windows_non_float_processed,building_windows_non_float_processed
building_windows_non_float_processed,building_windows_non_float_processed
building_windows_non_float_processed,building_windows_non_float_processed
building_windows_non_float_processed,building_windows_non_float_processed
building_windows_non_float_processed,building_windows_non_float_processed
building_windows_non_float_processed,building_windows_non_float_processed
building_windows_non_float_processed,building_windows_non_float_processed
building_windows_non_float_processed,containers
building_windows_non_float_processed,building_windows_non_float_processed
building_windows_non_float_processed,building_windows_float_processed
building_windows_non_float_processed,building_windows_non_float_processed
building_windows_non_float_processed,building_windows_non_float_processed
building_windows_non_float_processed,building_windows_non_float_processed
building_windows_non_float_processed,building_windows_non_float_processed
building_windows_non_float_processed,building_windows_non_float_processed
building_windows_non_float_processed,building_windows_non_float_processed
vehicle_windows_float_processed,building_windows_non_float_processed
containers,building_windows_non_float_processed
containers,building_windows_non_float_processed
tableware,building_windows_non_float_processed
tableware,building_windows_non_float_processed
headlamps,containers
headlamps,containers
headlamps,containers
headlamps,containers
headlamps,containers
